# Projection from (0, -2, -42) to the plane at z = -10
nv 273
MRP23 0.655125 0.391296
MRP31 0.551268 0.250501
MRP32 0.587319 0.285772
MRP33 0.636186 0.310769
MRP34 0.676191 0.35162
MRP35 0.698313 0.397183
MRP41 0.608748 0.244114
MRP42 0.653078 0.273233
MRP43 0.694794 0.304677
MRP44 0.722416 0.358197
MRP45 0.740105 0.41014
MRP51 0.529937 0.196176
MRP52 0.593023 0.203075
MRP53 0.646172 0.226375
MRP54 0.695622 0.261445
MRP55 0.736229 0.305534
MRP56 0.762928 0.363409
MRP57 0.776147 0.421717
MRT11 0.796631 0.66971
MRT12 0.807244 0.603573
MRT13 0.804651 0.539973
MRT14 0.813325 0.447072
MRT15 0.809999 0.379757
MRT16 0.77651 0.314153
MRT21 0.802488 0.733273
MRT22 0.836481 0.633892
MRT23 0.845576 0.561522
MRT24 0.855566 0.489722
MRT25 0.859718 0.401115
MRT26 0.838913 0.329239
MRT27 0.778817 0.270261
MRT31 0.829345 0.791657
MRT32 0.848613 0.699305
MRT33 0.884014 0.590309
MRT34 0.899299 0.51077
MRT35 0.898465 0.432531
MRT36 0.88786 0.352819
MRT37 0.839813 0.278652
MRT41 0.884967 0.756177
MRT42 0.898723 0.657709
MRT43 0.942911 0.557385
MRT44 0.942009 0.469794
MRT45 0.938373 0.382044
MRT46 0.907803 0.293814
MRT47 0.835966 0.226736
MRT51 0.947516 0.713208
MRT52 0.986441 0.619176
MRT53 1 0.517873
MRT54 0.994577 0.417297
MRT55 0.976383 0.317345
MRT56 0.91295 0.232849
MRT57 0.846092 0.159292
MZC01 0.500684 0.603308
MZC02 0.500742 0.5205
MZC03 0.500751 0.439046
MZC04 0.50053 0.353776
MZF01 0.501358 0.921516
MZF02 0.501042 0.8306
MZF03 0.50076 0.700559
MZO01 0.500853 0.158673
MZO02 0.501118 0.0853098
MZO03 0.501619 0
MZP01 0.500645 0.23336
nb 33
MLT41
MLT51
MLT52
MLT53
MLT54
MLT55
MLT56
MLT57
MLO53
MLO52
MLO51
MZO03
MRO51
MRO52
MRO53
MRT57
MRT56
MRT55
MRT54
MRT53
MRT52
MRT51
MRT41
MRF14
MRF13
MRF12
MRF11
MZF01
MLF11
MLF12
MLF13
MLF14
MLT41
